"","year","age","gender","race","education"
"27202","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27203","1984","6. 65 - 74","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27204","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27205","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27206","1984","3. 35 - 44","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27207","1984","5. 55 - 64","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27208","1984","3. 35 - 44","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27209","1984","1. 17 - 24","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27210","1984","3. 35 - 44","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27211","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27212","1984","2. 25 - 34","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27213","1984","3. 35 - 44","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27214","1984","5. 55 - 64","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27215","1984","5. 55 - 64","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27216","1984","6. 65 - 74","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27217","1984","1. 17 - 24","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27218","1984","1. 17 - 24","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27219","1984","1. 17 - 24","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27220","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27221","1984","5. 55 - 64","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27222","1984","5. 55 - 64","2. Female","2. Black non-Hispanic","1. Grade school or less (0-8 grades)"
"27223","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27224","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27225","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27226","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27227","1984","1. 17 - 24","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27228","1984","4. 45 - 54","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27229","1984","2. 25 - 34","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27230","1984","3. 35 - 44","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27231","1984","1. 17 - 24","1. Male","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27232","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27233","1984","2. 25 - 34","1. Male","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27234","1984","3. 35 - 44","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27235","1984","1. 17 - 24","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27236","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27237","1984","7. 75 - 99 and over (except 1954)","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27238","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27239","1984","4. 45 - 54","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27240","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27241","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27242","1984","4. 45 - 54","2. Female","3. Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27243","1984","3. 35 - 44","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27244","1984","6. 65 - 74","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27245","1984","2. 25 - 34","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27246","1984","4. 45 - 54","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27247","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27248","1984","6. 65 - 74","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27249","1984","5. 55 - 64","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27250","1984","1. 17 - 24","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27251","1984","2. 25 - 34","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27252","1984","1. 17 - 24","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27253","1984","5. 55 - 64","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27254","1984","2. 25 - 34","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27255","1984","3. 35 - 44","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27256","1984","4. 45 - 54","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27257","1984","1. 17 - 24","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27258","1984","5. 55 - 64","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27259","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27260","1984","5. 55 - 64","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27261","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27262","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27263","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27264","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27265","1984","5. 55 - 64","1. Male","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27266","1984","7. 75 - 99 and over (except 1954)","1. Male","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27267","1984","6. 65 - 74","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27268","1984","2. 25 - 34","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27269","1984","5. 55 - 64","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27270","1984","6. 65 - 74","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27271","1984","2. 25 - 34","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27272","1984","4. 45 - 54","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27273","1984","5. 55 - 64","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27274","1984","1. 17 - 24","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27275","1984","6. 65 - 74","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27276","1984","2. 25 - 34","2. Female","2. Black non-Hispanic","3. Some college (13 grades or more but no degree;"
"27277","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27278","1984","3. 35 - 44","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27279","1984","7. 75 - 99 and over (except 1954)","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27280","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27281","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27282","1984","4. 45 - 54","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27283","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27284","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27285","1984","3. 35 - 44","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27286","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27287","1984","3. 35 - 44","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27288","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27289","1984","5. 55 - 64","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27290","1984","2. 25 - 34","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27291","1984","6. 65 - 74","1. Male","2. Black non-Hispanic","1. Grade school or less (0-8 grades)"
"27292","1984","1. 17 - 24","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27293","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27294","1984","2. 25 - 34","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27295","1984","6. 65 - 74","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27296","1984","2. 25 - 34","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27297","1984","3. 35 - 44","1. Male","2. Black non-Hispanic","3. Some college (13 grades or more but no degree;"
"27298","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27299","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27300","1984","4. 45 - 54","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27301","1984","5. 55 - 64","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27302","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27303","1984","4. 45 - 54","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27304","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27305","1984","5. 55 - 64","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27306","1984","3. 35 - 44","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27307","1984","1. 17 - 24","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27308","1984","2. 25 - 34","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27309","1984","5. 55 - 64","1. Male","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27310","1984","2. 25 - 34","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27311","1984","5. 55 - 64","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27312","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27313","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27314","1984","4. 45 - 54","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27315","1984","5. 55 - 64","1. Male","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27316","1984","7. 75 - 99 and over (except 1954)","1. Male","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27317","1984","2. 25 - 34","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27318","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27319","1984","2. 25 - 34","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27320","1984","1. 17 - 24","2. Female","3. Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27321","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27322","1984","3. 35 - 44","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27323","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27324","1984","1. 17 - 24","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27325","1984","6. 65 - 74","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27326","1984","2. 25 - 34","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27327","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27328","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27329","1984","1. 17 - 24","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27330","1984","1. 17 - 24","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27331","1984","4. 45 - 54","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27332","1984","4. 45 - 54","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27333","1984","5. 55 - 64","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27334","1984","6. 65 - 74","2. Female","2. Black non-Hispanic","3. Some college (13 grades or more but no degree;"
"27335","1984","2. 25 - 34","1. Male","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27336","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27337","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27338","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27339","1984","1. 17 - 24","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27340","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27341","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27342","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27344","1984","4. 45 - 54","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27345","1984","7. 75 - 99 and over (except 1954)","1. Male","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27346","1984","4. 45 - 54","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27347","1984","1. 17 - 24","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27348","1984","1. 17 - 24","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27349","1984","1. 17 - 24","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27350","1984","4. 45 - 54","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27351","1984","4. 45 - 54","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27352","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27353","1984","2. 25 - 34","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27354","1984","1. 17 - 24","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27355","1984","4. 45 - 54","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27356","1984","3. 35 - 44","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27357","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27358","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27359","1984","6. 65 - 74","1. Male","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27360","1984","2. 25 - 34","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27361","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27362","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27363","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27364","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27365","1984","6. 65 - 74","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27366","1984","4. 45 - 54","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27367","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27368","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27369","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27370","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27371","1984","7. 75 - 99 and over (except 1954)","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27372","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27373","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27374","1984","4. 45 - 54","2. Female","4. Other or multiple races, non-Hispanic","3. Some college (13 grades or more but no degree;"
"27375","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27376","1984","7. 75 - 99 and over (except 1954)","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27377","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27378","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27379","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27380","1984","2. 25 - 34","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27381","1984","2. 25 - 34","1. Male","3. Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27382","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27383","1984","2. 25 - 34","1. Male","3. Hispanic","1. Grade school or less (0-8 grades)"
"27384","1984","3. 35 - 44","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27385","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27386","1984","4. 45 - 54","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27387","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27388","1984","7. 75 - 99 and over (except 1954)","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27389","1984","3. 35 - 44","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27390","1984","5. 55 - 64","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27391","1984","3. 35 - 44","1. Male","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27392","1984","3. 35 - 44","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27393","1984","4. 45 - 54","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27394","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27395","1984","1. 17 - 24","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27396","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27397","1984","5. 55 - 64","1. Male","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27398","1984","1. 17 - 24","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27399","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27400","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27401","1984","5. 55 - 64","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27402","1984","5. 55 - 64","2. Female","2. Black non-Hispanic","1. Grade school or less (0-8 grades)"
"27403","1984","3. 35 - 44","1. Male","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27404","1984","4. 45 - 54","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27405","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27406","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27407","1984","2. 25 - 34","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27408","1984","3. 35 - 44","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27409","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27410","1984","2. 25 - 34","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27411","1984","1. 17 - 24","1. Male","4. Other or multiple races, non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27412","1984","5. 55 - 64","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27413","1984","4. 45 - 54","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27414","1984","1. 17 - 24","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27416","1984","2. 25 - 34","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27417","1984","5. 55 - 64","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27418","1984","5. 55 - 64","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27419","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27420","1984","2. 25 - 34","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27421","1984","3. 35 - 44","2. Female","2. Black non-Hispanic","3. Some college (13 grades or more but no degree;"
"27422","1984","6. 65 - 74","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27423","1984","3. 35 - 44","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27424","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27425","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27426","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27427","1984","5. 55 - 64","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27428","1984","1. 17 - 24","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27429","1984","3. 35 - 44","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27430","1984","5. 55 - 64","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27431","1984","2. 25 - 34","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27432","1984","4. 45 - 54","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27433","1984","3. 35 - 44","1. Male","3. Hispanic","3. Some college (13 grades or more but no degree;"
"27434","1984","1. 17 - 24","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27435","1984","3. 35 - 44","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27436","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27437","1984","3. 35 - 44","1. Male","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27438","1984","5. 55 - 64","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27439","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27440","1984","3. 35 - 44","1. Male","3. Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27441","1984","3. 35 - 44","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27442","1984","3. 35 - 44","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27443","1984","3. 35 - 44","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
